bus_no,now_stop_name,now_stop_lat,now_stop_long,next_stop_name,next_stop_lat,next_stop_long,distance,weather,time,date,day
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,6,2024-01-02,Tuesday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,3,2024-01-02,Tuesday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,4,2024-01-02,Tuesday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,4,2024-01-02,Tuesday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,5,2024-01-02,Tuesday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,1,2024-01-02,Tuesday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,7,2024-01-03,Wednesday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,4,2024-01-03,Wednesday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,5,2024-01-03,Wednesday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,5,2024-01-03,Wednesday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,6,2024-01-03,Wednesday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,2,2024-01-03,Wednesday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,6,2024-01-04,Thursday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,4,2024-01-04,Thursday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,4,2024-01-04,Thursday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,4,2024-01-04,Thursday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,5,2024-01-04,Thursday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,1,2024-01-04,Thursday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,5,2024-01-05,Friday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,2,2024-01-05,Friday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,3,2024-01-05,Friday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,4,2024-01-05,Friday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,5,2024-01-05,Friday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,2,2024-01-05,Friday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,5,2024-01-08,Monday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,4,2024-01-08,Monday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,4,2024-01-08,Monday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,7,2024-01-08,Monday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,5,2024-01-08,Monday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,1,2024-01-08,Monday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,7,2024-01-09,Tuesday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,4,2024-01-09,Tuesday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,4,2024-01-09,Tuesday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,5,2024-01-09,Tuesday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,6,2024-01-09,Tuesday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,2,2024-01-09,Tuesday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,7,2024-01-10,Wednesday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,4,2024-01-10,Wednesday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,5,2024-01-10,Wednesday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,6,2024-01-10,Wednesday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,5,2024-01-10,Wednesday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,1,2024-01-10,Wednesday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,6,2024-01-11,Thursday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,3,2024-01-11,Thursday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,4,2024-01-11,Thursday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,4,2024-01-11,Thursday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,7,2024-01-11,Thursday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,2,2024-01-11,Thursday
1,오정동 육교 밑(국민연금북대전지사),36.358602,127.412893,재뜰네거리(샘머리A부근),36.358013,127.395171,2.2,0,6,2024-01-12,Friday
1,재뜰네거리(샘머리A부근),36.358013,127.395171,정부청사 4번출구 앞,36.357934,127.381689,1.2,0,6,2024-01-12,Friday
1,정부청사 4번출구 앞,36.357934,127.381689,갈마역,36.357907,127.372136,0.9,0,4,2024-01-12,Friday
1,갈마역,36.357907,127.372136,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,0.9,0,3,2024-01-12,Friday
1,월평역 버스정류장(이마트 트레이더스 맞은편),36.358705,127.362427,GS 충대 앞 주유소,36.361253,127.344114,1.8,0,5,2024-01-12,Friday
1,GS 충대 앞 주유소,36.361253,127.344114,유성문화원,36.36007,127.341169,0.5,0,2,2024-01-12,Friday
