                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88436,                 1.4686,                 1.2859,                0.54762,                0.62005,                0.52042,                0.39269,                 1.0916,                 4.7442,                 1.7491,              0.0003621,              0.0003621,              0.0003621
                      2,                0.75797,                0.87409,                 1.1784,                0.64925,                0.58776,                0.60303,                0.39143,                 1.3052,                 4.8683,                 2.1168,             0.00072519,             0.00072519,             0.00072519
                      3,                0.76107,                0.82224,                 1.1842,                0.53605,                0.47606,                0.47172,                0.33514,                 1.1035,                 6.8397,                 1.9137,              0.0010809,              0.0010809,              0.0010809
                      4,                0.71945,                0.73468,                 1.1485,                0.69587,                 0.7286,                0.65748,                0.50447,                  1.025,                 1.7517,                 1.8057,               0.001078,               0.001078,               0.001078
                      5,                0.68845,                0.65368,                 1.1156,                 0.6201,                0.70763,                0.62237,                0.45815,                 1.1833,                 1.9348,                 1.7354,               0.001067,               0.001067,               0.001067
                      6,                0.65058,                0.60564,                 1.0896,                0.74275,                0.72945,                0.65051,                0.51927,                 1.0164,                 1.4104,                 1.6364,               0.001056,               0.001056,               0.001056
                      7,                0.62877,                 0.6216,                 1.0817,                0.72862,                0.74838,                0.66691,                0.54187,                0.89456,                 1.0811,                 1.4997,               0.001045,               0.001045,               0.001045
                      8,                0.57604,                0.55235,                 1.0314,                0.75568,                0.73697,                0.70224,                0.51699,                 1.0217,                 1.3017,                 1.6388,               0.001034,               0.001034,               0.001034
                      9,                0.54868,                0.51435,                 1.0137,                0.78867,                0.72224,                0.64359,                0.50433,                0.94738,                 1.2298,                 1.5229,               0.001023,               0.001023,               0.001023
                     10,                0.53982,                0.53613,                 1.0152,                0.74809,                0.69381,                0.66424,                0.55298,                0.87884,                 1.1533,                 1.4839,               0.001012,               0.001012,               0.001012
                     11,                0.53257,                0.52362,                 1.0088,                0.76738,                0.76664,                0.65995,                0.55886,                0.82247,                    1.1,                  1.468,               0.001001,               0.001001,               0.001001
                     12,                0.52001,                  0.506,                0.99818,                0.77056,                0.76735,                0.70205,                0.57225,                0.86128,                 1.1085,                 1.4439,             0.00099001,             0.00099001,             0.00099001
